"Modelo","ROC_AUC","PR_AUC","Log_loss","Precision","Recall","Especificidad","F1","Costo","Volumen","Subgrupo"
"Gradient Boosting",0.802319211227541,0.452717140225175,0.513468080905559,0.348614681519566,0.657596982758621,0.84396168320219,0.455665484412918,10916,7002,"Ver Sección 13 (detalle por mes, modelo final)"
"Regresión Logística",0.794572479745951,0.441205927260912,0.520097120238799,0.342255940452333,0.644127155172414,0.842798494697229,0.446999439147504,11200,6986,"Ver Sección 13 (detalle por mes, modelo final)"
"Random Forest",0.794514287141517,0.432270899368599,0.447029587910043,0.367233384853168,0.640086206896552,0.85993841943209,0.466705951679434,10774,6470,"Ver Sección 13 (detalle por mes, modelo final)"
"KNN",0.783452088703446,0.403502453366178,0.532281888579263,0.324923759356806,0.631465517241379,0.833390352377694,0.429068277503203,11710,7214,"Ver Sección 13 (detalle por mes, modelo final)"
"SVM RBF",0.78185079670597,0.398636624564723,0.525702740248219,0.310618262916615,0.675377155172414,0.80964762230585,0.425528303488076,11589,8071,"Ver Sección 13 (detalle por mes, modelo final)"
"Árbol",0.776474501427442,0.367697463020784,0.54447507968102,0.356223175965665,0.6484375,0.851180294218269,0.45983379501385,10875,6757,"Ver Sección 13 (detalle por mes, modelo final)"
"SVM Lineal",0.77453232555859,0.398880851833943,0.53314627596257,0.361585461381795,0.62176724137931,0.860588436537804,0.457256067360079,11095,6383,"Ver Sección 13 (detalle por mes, modelo final)"
"Baseline",NA,NA,NA,NA,0,1,NA,18560,0,"Ver Sección 13 (detalle por mes, modelo final)"
